,name,description,variables
160,B01002A,MEDIAN AGE BY SEX (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01002A.json
161,B12007E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12007E.json
162,B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01002B.json
163,B12007D,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12007D.json
164,B18135,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B18135.json
165,B25032I,UNITS IN STRUCTURE (HISPANIC OR LATINO HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032I.json
166,B25032H,"UNITS IN STRUCTURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",http://api.census.gov/data/2019/acs/acs5/groups/B25032H.json
167,B25032G,UNITS IN STRUCTURE (TWO OR MORE RACES HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032G.json
168,B25032F,UNITS IN STRUCTURE (SOME OTHER RACE ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032F.json
169,B06003PR,PLACE OF BIRTH BY SEX IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B06003PR.json
170,B07013,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07013.json
171,B25032E,UNITS IN STRUCTURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032E.json
172,B08103,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,http://api.census.gov/data/2019/acs/acs5/groups/B08103.json
173,B07012,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07012.json
174,B25032D,UNITS IN STRUCTURE (ASIAN ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032D.json
175,B25032C,UNITS IN STRUCTURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032C.json
176,B08101,MEANS OF TRANSPORTATION TO WORK BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B08101.json
177,B25032B,UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032B.json
178,B25032A,UNITS IN STRUCTURE (WHITE ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25032A.json
179,B07011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07011.json
180,B07010,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07010.json
181,B99052PR,ALLOCATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B99052PR.json
182,B19216,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B19216.json
183,B19215,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B19215.json
184,B19214,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B19214.json
185,B06004FPR,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B06004FPR.json
186,B11001B,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001B.json
187,B11001A,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001A.json
188,B11001D,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001D.json
189,B11001C,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001C.json
190,B11001F,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001F.json
191,B11001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001E.json
192,B11001H,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B11001H.json
193,B11001G,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B11001G.json
194,B11001I,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B11001I.json
195,B17026,RATIO OF INCOME TO POVERTY LEVEL OF FAMILIES IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B17026.json
196,C15010H,"FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/C15010H.json
197,C15010I,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/C15010I.json
198,B19201,NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B19201.json
199,B07004FPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07004FPR.json
200,B17022,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN,http://api.census.gov/data/2019/acs/acs5/groups/B17022.json
201,B17023,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF OWN CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B17023.json
202,B17024,AGE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B17024.json
203,B19202,MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B19202.json
204,B17025,POVERTY STATUS IN THE PAST 12 MONTHS BY NATIVITY,http://api.census.gov/data/2019/acs/acs5/groups/B17025.json
205,B17020,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B17020.json
206,B17021,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT,http://api.census.gov/data/2019/acs/acs5/groups/B17021.json
207,B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11002A.json
208,B29004,"MEDIAN HOUSEHOLD INCOME FOR HOUSEHOLDS WITH A CITIZEN, VOTING-AGE HOUSEHOLDER (IN 2019 INFLATION-ADJUSTED DOLLARS)",http://api.census.gov/data/2019/acs/acs5/groups/B29004.json
209,B29003,"CITIZEN, VOTING-AGE POPULATION BY POVERTY STATUS",http://api.census.gov/data/2019/acs/acs5/groups/B29003.json
210,B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11002C.json
211,B29002,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT",http://api.census.gov/data/2019/acs/acs5/groups/B29002.json
212,B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11002B.json
213,B29001,"CITIZEN, VOTING-AGE POPULATION BY AGE",http://api.census.gov/data/2019/acs/acs5/groups/B29001.json
214,B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11002E.json
215,B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11002D.json
216,B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B11002G.json
217,B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11002F.json
218,B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B11002I.json
219,B11002H,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B11002H.json
220,B25039,MEDIAN YEAR HOUSEHOLDER MOVED INTO UNIT BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25039.json
221,B25038,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT,http://api.census.gov/data/2019/acs/acs5/groups/B25038.json
222,B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,http://api.census.gov/data/2019/acs/acs5/groups/B03001.json
223,B25031,MEDIAN GROSS RENT BY BEDROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25031.json
224,B26120,GROUP QUARTERS TYPE (3 TYPES) BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B26120.json
225,B03002,HISPANIC OR LATINO ORIGIN BY RACE,http://api.census.gov/data/2019/acs/acs5/groups/B03002.json
226,B03003,HISPANIC OR LATINO ORIGIN,http://api.census.gov/data/2019/acs/acs5/groups/B03003.json
227,B25033,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE BY UNITS IN STRUCTURE,http://api.census.gov/data/2019/acs/acs5/groups/B25033.json
228,B25032,TENURE BY UNITS IN STRUCTURE,http://api.census.gov/data/2019/acs/acs5/groups/B25032.json
229,B25035,MEDIAN YEAR STRUCTURE BUILT,http://api.census.gov/data/2019/acs/acs5/groups/B25035.json
230,B25034,YEAR STRUCTURE BUILT,http://api.census.gov/data/2019/acs/acs5/groups/B25034.json
231,B25037,MEDIAN YEAR STRUCTURE BUILT BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25037.json
232,B25036,TENURE BY YEAR STRUCTURE BUILT,http://api.census.gov/data/2019/acs/acs5/groups/B25036.json
233,B07201PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07201PR.json
234,B26117,GROUP QUARTERS TYPE (3 TYPES) BY SEX WITH EARNINGS IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B26117.json
235,B25027,MORTGAGE STATUS BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25027.json
236,B26119,MEDIAN EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (3 TYPES) BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B26119.json
237,B26118,AGGREGATE EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (3 TYPES) BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B26118.json
238,C18108,AGE BY NUMBER OF DISABILITIES,http://api.census.gov/data/2019/acs/acs5/groups/C18108.json
239,B25020,TENURE BY ROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25020.json
240,B06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B06001PR.json
241,B25022,AGGREGATE NUMBER OF ROOMS BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25022.json
242,B25021,MEDIAN NUMBER OF ROOMS BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25021.json
243,B26110,GROUP QUARTERS TYPE (3 TYPES) BY NATIVITY AND CITIZENSHIP STATUS BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B26110.json
244,B25024,UNITS IN STRUCTURE,http://api.census.gov/data/2019/acs/acs5/groups/B25024.json
245,B26113,GROUP QUARTERS TYPE (3 TYPES) BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH,http://api.census.gov/data/2019/acs/acs5/groups/B26113.json
246,B25026,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT,http://api.census.gov/data/2019/acs/acs5/groups/B25026.json
247,B26115,GROUP QUARTERS TYPE (3 TYPES) BY OCCUPATION,http://api.census.gov/data/2019/acs/acs5/groups/B26115.json
248,B26114,GROUP QUARTERS TYPE (3 TYPES) BY EMPLOYMENT STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B26114.json
249,C18131,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY DISABILITY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/C18131.json
250,C18130,AGE BY DISABILITY STATUS BY POVERTY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/C18130.json
251,B25017,ROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25017.json
252,B26106,GROUP QUARTERS TYPE (3 TYPES) BY EDUCATIONAL ATTAINMENT,http://api.census.gov/data/2019/acs/acs5/groups/B26106.json
253,C27001B,HEALTH INSURANCE COVERAGE STATUS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/C27001B.json
254,B25016,TENURE BY PLUMBING FACILITIES BY OCCUPANTS PER ROOM,http://api.census.gov/data/2019/acs/acs5/groups/B25016.json
255,B26105,GROUP QUARTERS TYPE (3 TYPES) BY SCHOOL ENROLLMENT,http://api.census.gov/data/2019/acs/acs5/groups/B26105.json
256,C27001A,HEALTH INSURANCE COVERAGE STATUS BY AGE (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/C27001A.json
257,B25019,AGGREGATE NUMBER OF ROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25019.json
258,B26108,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B26108.json
259,C27001D,HEALTH INSURANCE COVERAGE STATUS BY AGE (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/C27001D.json
260,B25018,MEDIAN NUMBER OF ROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25018.json
261,B26107,GROUP QUARTERS TYPE (3 TYPES) BY VETERAN STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B26107.json
262,C27001C,HEALTH INSURANCE COVERAGE STATUS BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/C27001C.json
263,C27001F,HEALTH INSURANCE COVERAGE STATUS BY AGE (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/C27001F.json
264,B26109,GROUP QUARTERS TYPE (3 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B26109.json
265,C27001E,HEALTH INSURANCE COVERAGE STATUS BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/C27001E.json
266,C27001H,"HEALTH INSURANCE COVERAGE STATUS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/C27001H.json
267,C27001G,HEALTH INSURANCE COVERAGE STATUS BY AGE (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/C27001G.json
268,B06012PR,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B06012PR.json
269,B25011,TENURE BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25011.json
270,B25010,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25010.json
271,B25013,TENURE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25013.json
272,B26102,MEDIAN AGE BY GROUP QUARTERS TYPE (3 TYPES),http://api.census.gov/data/2019/acs/acs5/groups/B26102.json
273,B25012,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,http://api.census.gov/data/2019/acs/acs5/groups/B25012.json
274,B26101,GROUP QUARTERS TYPE (3 TYPES) BY SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B26101.json
275,B25015,TENURE BY AGE OF HOUSEHOLDER BY OCCUPANTS PER ROOM,http://api.census.gov/data/2019/acs/acs5/groups/B25015.json
276,B26104,GROUP QUARTERS TYPE (3 TYPES) BY MARITAL STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B26104.json
277,B25014,TENURE BY OCCUPANTS PER ROOM,http://api.census.gov/data/2019/acs/acs5/groups/B25014.json
278,B26103,GROUP QUARTERS TYPE (3 TYPES),http://api.census.gov/data/2019/acs/acs5/groups/B26103.json
279,C18120,EMPLOYMENT STATUS BY DISABILITY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/C18120.json
280,B07004HPR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO",http://api.census.gov/data/2019/acs/acs5/groups/B07004HPR.json
281,C18121,WORK EXPERIENCE BY DISABILITY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/C18121.json
282,B25006,RACE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25006.json
283,B25005,VACANT - CURRENT RESIDENCE ELSEWHERE,http://api.census.gov/data/2019/acs/acs5/groups/B25005.json
284,B25008,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25008.json
285,B25007,TENURE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25007.json
286,B25009,TENURE BY HOUSEHOLD SIZE,http://api.census.gov/data/2019/acs/acs5/groups/B25009.json
287,B25002,OCCUPANCY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B25002.json
288,B25001,HOUSING UNITS,http://api.census.gov/data/2019/acs/acs5/groups/B25001.json
289,B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B12002I.json
290,B25004,VACANCY STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B25004.json
291,B12002H,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B12002H.json
292,B25003,TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25003.json
293,B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B12002G.json
294,B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12002F.json
295,B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12002E.json
296,B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12002D.json
297,B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12002C.json
298,B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12002B.json
299,B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12002A.json
300,B07402PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07402PR.json
301,B07409,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07409.json
302,B27019,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY AGE BY EDUCATIONAL ATTAINMENT,http://api.census.gov/data/2019/acs/acs5/groups/B27019.json
303,B07407,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07407.json
304,B07408,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07408.json
305,B07403,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07403.json
306,B25075,VALUE,http://api.census.gov/data/2019/acs/acs5/groups/B25075.json
307,B25074,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25074.json
308,B07401,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07401.json
309,B25077,MEDIAN VALUE (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25077.json
310,B27010,TYPES OF HEALTH INSURANCE COVERAGE BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B27010.json
311,B07402,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07402.json
312,B25076,LOWER VALUE QUARTILE (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25076.json
313,B27011,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY EMPLOYMENT STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B27011.json
314,B25079,AGGREGATE VALUE (DOLLARS) BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25079.json
315,B25078,UPPER VALUE QUARTILE (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25078.json
316,B27015,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B27015.json
317,B25071,MEDIAN GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25071.json
318,B25070,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25070.json
319,B07007PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07007PR.json
320,B25072,AGE OF HOUSEHOLDER BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25072.json
321,B14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B14007A.json
322,B07203PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07203PR.json
323,B08105A,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B08105A.json
324,B08105B,MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B08105B.json
325,B08105C,MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B08105C.json
